"athlete.sex","average_speed","max_speed","distance","average_heartrate","type"
"M",8.368,14.2,52886.7,124.3,"Ride"
"M",6.664,15.3,28321.9,100.8,"Ride"
"F",5.14,18.5,54328.8,134,"Ride"
"M",7.375,12.6,22125.9,134.5,"Ride"
"M",8.034,11.4,59130.4,147.2,"Ride"
"M",6.505,16.5,55984.8,160,"Ride"
"F",3.867,11.6,33821,169.1,"Ride"
"F",2.795,4.1,9614.9,148.2,"Run"
"F",6.137,14.9,20331.9,110,"Ride"
"M",5.496,16.7,43119.1,147.7,"Ride"
"M",5.552,15.3,39091,139.3,"Ride"
"M",3.922,5.6,5051.7,177.4,"Run"
"M",8.702,19.4,29281.5,133.6,"Ride"
"M",8.23,15.8,36920.6,137.6,"Ride"
"F",3.377,6.4,4835.4,173.4,"Run"
"M",5.719,12.5,14653.1,158,"Ride"
"M",5.092,10.4,55842.3,142,"Ride"
"F",2.933,5,15574.1,129.2,"Run"
"M",7.783,13.2,33575.2,144.5,"Ride"
"M",7.581,12.4,31597.6,112.3,"Ride"
"M",7.37,18,55523.7,137.9,"Ride"
"M",6.166,16.7,9871.5,138.1,"Ride"
"F",1.367,3.5,2204.1,140.4,"Run"
"M",1.821,6.1,10630.4,121.7,"Run"
"M",6.911,12.9,34312.9,154.4,"Ride"
"M",3.237,6.1,12791.1,146.3,"Run"
"F",2.565,3.9,10666.1,106.4,"Run"
"F",2.776,4,8772,150.3,"Run"
"F",8.32,12.3,23954.6,148.2,"Ride"
"F",2.123,2.7,2887,142.1,"Run"
"M",3.338,12.7,22129.3,127.3,"Ride"
"M",8.805,15.1,41841.1,157.4,"Ride"
"F",9.454,15.9,46174.6,158.9,"Ride"
"M",7.41,13.4,32700,122.2,"Ride"
"F",6.059,17.5,88483.3,134.2,"Ride"
"F",3.797,5.6,12056.7,179.9,"Run"
"F",5.724,9.8,20504.5,125.3,"Ride"
"M",8.604,14.9,42282.5,140.9,"Ride"
"F",2.464,4.6,6446.9,106.2,"Run"
"M",9.201,10.4,32232.2,110.5,"Ride"
"M",3.798,7.2,11683.2,150.1,"Run"
"M",3.412,4.2,3244.5,148.5,"Run"
"M",3.228,6.7,9457.1,150.8,"Run"
"M",3.559,4,2345.5,116.1,"Run"
"F",5.293,7.5,39210.9,150.6,"Ride"
"F",1.456,9.9,3869.9,71.7,"Ride"
"M",6.806,19.6,115729,114.4,"Ride"
"M",5.978,18.3,120824,132.2,"Ride"
"M",2.746,7.8,24691.6,150.6,"Run"
"F",5.318,15.6,34341.2,128.7,"Ride"
"M",8.084,17.1,89073.4,133.7,"Ride"
"M",3.358,6.9,14500.8,161.2,"Run"
"M",8.166,12.5,23002.5,136.3,"Ride"
"M",2.866,3.6,478.6,143.5,"Run"
"M",6.821,14.8,42803.5,140,"Ride"
"M",2.939,3.7,21684.5,162.7,"Run"
"M",3.487,5.9,9952,147.5,"Run"
"M",2.923,8,10556.2,160.3,"Run"
"F",2.326,3.8,5811.5,141.9,"Run"
"M",7.363,13.093,52349.4,150,"Ride"
"M",8.03,10,20284.1,140.2,"Ride"
"M",3.74,5.3,8053.2,173.1,"Run"
"M",5.418,6.3,8734.4,37.1,"Ride"
"M",2.905,3.7,8317.7,156.8,"Run"
"F",2.878,4.9,6345.9,170.3,"Run"
"M",6.769,15.8,43988.2,154,"Ride"
"F",3.243,4.6,5253.2,141,"Run"
"M",2.037,10.5,5338,117.5,"Ride"
"F",5.779,10.2,5235.4,173.1,"Ride"
"M",3.473,5,35203.9,140.1,"Run"
"M",7.208,12,32731.8,153.5,"Ride"
"M",4.54,10.6,21791.4,128.3,"Ride"
"M",8.175,10.5,34741.9,149.7,"Ride"
"F",7.741,8.7,13940.9,134.2,"Ride"
"M",2.563,3.8,2252.9,139.1,"Run"
"M",6.448,11.8,47172,114.3,"Ride"
"M",6.771,13,22825.2,121.3,"Ride"
"F",5.277,14.9,55338.7,185.3,"Ride"
"M",8.249,13.813,21091.7,132.6,"Ride"
"M",3.036,4.4,10129.6,166.5,"Run"
"M",1.808,4.2,4279.7,109.3,"Run"
"F",8.002,10.9,12835.9,150.1,"Ride"
"F",2.879,5.8,8598.6,135.5,"Run"
"M",2.961,4.4,10306.8,144.7,"Run"
"M",7.677,16.7,136217,93.4,"Ride"
"M",3.138,4.6,6470.2,131.2,"Run"
"F",3.295,3.6,1785.9,162.8,"Run"
"M",6.337,14.9,15835.1,97.6,"Ride"
"M",6.652,16.4,21013.2,126.4,"Ride"
"M",2.731,4.2,9811.5,151.1,"Run"
"F",2.953,4.1,3957.1,153.8,"Run"
"M",3.434,5.8,7290.5,172.5,"Run"
"F",7.025,15.8,46427.4,142.5,"Ride"
"F",2.758,3.6,1014.9,138.2,"Run"
"M",8.105,12.5,24493,151.6,"Ride"
"F",2.345,3.1,6666,143.4,"Run"
"F",6.559,13.7,35422.6,139.9,"Ride"
"M",6.853,13.7,38440.9,129.3,"Ride"
"M",6.886,12.4,46246.7,151.4,"Ride"
"M",6.454,12.3,16335,136,"Ride"
"M",8.608,14.5,63852.4,154.9,"Ride"
"F",4.97,6,21406.9,132.1,"Ride"
"M",8.095,14.5,26898.6,144,"Ride"
"F",2.877,3.2,5595.1,157.6,"Run"
"F",2.336,3.4,324.7,158.1,"Run"
"M",7.746,16.7,102174,136.8,"Ride"
"M",9.084,20.6,154122,157.5,"Ride"
"F",7.621,8.9,16110.6,121.9,"Ride"
"M",3.794,14,31755.6,149.8,"Ride"
"M",3.122,3.4,2216.5,155.1,"Run"
"M",3.641,5.5,12791.2,135.5,"Run"
"M",6.912,12.2,49059.7,142.8,"Ride"
"M",7.195,9.9,4777.2,133.7,"Ride"
"M",3.213,3.7,2892.1,138,"Run"
"M",9.708,16.7,70896.4,141.4,"Ride"
"F",4.979,8.5,5526.5,140.1,"Ride"
"M",7.915,15.3,29326.4,154.6,"Ride"
"M",1.832,2.1,1458.2,139.1,"Run"
"M",6.188,14.5,29052.3,125.8,"Ride"
"M",4.576,11.3,16607.7,138.9,"Ride"
"F",2.173,5.3,3009.3,120.4,"Run"
"F",2.733,3.1,1773.7,144.2,"Run"
"F",2.742,4,7407,150,"Run"
"F",3.42,8.3,20514.4,156,"Run"
"M",4.236,15.3,44268.9,153.5,"Ride"
"M",7.634,13.7,22048.4,134,"Ride"
"M",7.993,10.8,66241,153.7,"Ride"
"M",3.183,4.3,8547.6,169.7,"Run"
"F",7.621,15.4,95739.6,151.5,"Ride"
"F",4.526,12.8,27729,130.8,"Ride"
"M",4.806,11.2,10130.7,143.5,"Ride"
"M",3.372,5.4,9421.7,146.5,"Run"
"M",9.062,19.9,24468.6,138.6,"Ride"
"F",2.203,3,4882.1,154.3,"Run"
"M",2.904,4.2,7579.7,144.5,"Run"
"M",6.463,12.7,31490.1,138.4,"Ride"
"M",6.286,11.7,69440.6,71.2,"Ride"
"F",2.631,4.1,2915.7,160.3,"Run"
"M",3.305,9.6,10399.3,170.2,"Run"
"M",7.843,16.7,81260.4,144.7,"Ride"
"F",3.855,17.3,24049.9,132.9,"Ride"
"M",7.76,11.8,69253.3,125,"Ride"
"M",7.882,10.7,7590.2,130,"Ride"
"M",6.189,10.8,37183.6,131.8,"Ride"
"F",5.037,7.3,17469.9,118.7,"Ride"
"M",8.669,13.6,99901.6,131.6,"Ride"
"M",5.625,11.9,3172.3,98.7,"Ride"
"M",7.281,16.7,65117.8,149.6,"Ride"
"M",3.571,13.7,6241.7,168.1,"Run"
"M",3.228,5.9,12364.7,177.1,"Run"
"M",8.585,11.4,71794,143.3,"Ride"
"M",2.783,6.1,7071.8,141.3,"Run"
"M",5.977,16.2,16526.7,133.3,"Ride"
"M",7.685,14.4,44290.2,111.6,"Ride"
"M",7.742,16.5,35194.3,161.5,"Ride"
"M",2.93,3.9,6592.4,148.6,"Run"
"M",8.443,24.3,170997,164.6,"Ride"
"M",2.602,4.9,20114.1,139,"Run"
"M",8.124,19.2,38084.5,146.9,"Ride"
"M",8.196,13.2,59550.2,145.9,"Ride"
"M",7.389,12.4,21693.9,142.2,"Ride"
"M",3.078,3.9,2927,171.7,"Run"
"M",6.027,25,63165.8,110.3,"Ride"
"M",7.521,15.5,38431.9,153.3,"Ride"
"M",7.194,23.5,91137.2,136.4,"Ride"
"M",7.752,10.8,41750.3,124.3,"Ride"
"M",8.205,16,41486,141.3,"Ride"
"M",8.511,16.6,87910.1,137.6,"Ride"
"M",9.756,15.9,28020,153.7,"Ride"
"M",1.724,3.7,4402.5,117.4,"Run"
"F",2.397,4.7,4859.7,166,"Run"
"M",9.069,11.9,7400.4,189.2,"Ride"
"F",7.071,20.7,182270,127.5,"Ride"
"M",5.476,8.2,7184.4,127.1,"Ride"
"M",11.399,13.3,27095.4,147.9,"Ride"
"M",7.31,13.7,23737.1,147.6,"Ride"
"M",7.814,11.1,4751.1,108.1,"Ride"
"F",2.751,3.6,6120.5,155.4,"Run"
"F",3.344,6.8,17972.3,177.2,"Run"
"M",2.721,3.4,12883.9,143.9,"Run"
"M",11.141,15.1,17792.3,180.4,"Ride"
"F",6.959,15.1,91301.1,142.7,"Ride"
"M",7.327,15.6,122193,147.4,"Ride"
"F",2.912,3.5,1362.9,135,"Run"
"M",3.136,7.3,6193.3,140.4,"Run"
"M",2.945,3.8,5250.9,158.7,"Run"
"M",5.379,16.1,32631.9,152.5,"Ride"
"M",6.952,11.7,31042.1,148.9,"Ride"
"M",8.19,11.6,23446.9,146.1,"Ride"
"M",8.193,14.5,51725.1,132.4,"Ride"
"M",7.084,15.7,58480.6,129.6,"Ride"
"M",7.357,13.2,19754.1,148,"Ride"
"M",8.428,15.6,26631.2,162.6,"Ride"
"M",2.745,8.7,3742,133.2,"Run"
"F",6.964,16.6,74880.1,134.1,"Ride"
"F",2.719,4.9,6184.9,156.8,"Run"
"M",9.259,10.7,50055.9,154.4,"Ride"
"M",7.918,10.4,31348.6,148,"Ride"
"M",8.329,13,24771.9,150.7,"Ride"
"M",5.013,11.1,10120.4,113.6,"Ride"
"M",7.045,10.5,148109,122.9,"Ride"
"M",3.925,5.7,12455.3,152.7,"Run"
"F",4.882,7,1542.6,128,"Ride"
"F",7.532,11,80991.1,142.8,"Ride"
"M",6.266,12,68555.4,132.4,"Ride"
"M",7.082,18.4,129072,143.3,"Ride"
"M",6.239,13.4,12634.4,89.7,"Ride"
"M",5.753,14.8,48633.6,145,"Ride"
"M",7.883,14.7,70797.8,117.2,"Ride"
"F",2.593,11.6,26175.4,148.5,"Ride"
"F",3.012,4.4,9400.6,171.1,"Run"
"F",2.359,4,5296.5,134,"Run"
"M",3.064,5,8671.9,139.5,"Run"
"F",6.498,9.6,46743.6,145.3,"Ride"
"F",4.65,28,52474,99.7,"Ride"
"M",8.499,11,25504.3,142.8,"Ride"
"M",9.822,15.9,48678.3,148.2,"Ride"
"M",3.126,5.9,7327.4,139.7,"Run"
"M",2.549,4.7,6193.9,150.6,"Run"
"F",2.796,4.7,6351.5,166,"Run"
"M",6.423,16,45521.3,149.3,"Ride"
"M",5.741,7.6,10345.7,138.2,"Ride"
"M",8.986,15.8,36930.5,150.7,"Ride"
"F",5.893,9.5,12398.3,132.2,"Ride"
"F",6.536,8.7,6078.8,116.2,"Ride"
"F",5.534,8.8,32302.6,88.7,"Ride"
"F",4.905,10.5,7941.2,113.8,"Ride"
"M",7.163,12.5,44422.4,138.4,"Ride"
"F",3.529,8.2,1411.6,96.8,"Ride"
"M",11.404,15,30802.9,137.2,"Ride"
"M",4.837,18.9,48980.6,145,"Ride"
"F",2.49,3.6,4280.1,117.9,"Run"
"M",4.418,14,22378,113.4,"Ride"
"M",6.289,17.1,21463.2,120.3,"Ride"
"F",2.861,4,10009.2,187.3,"Run"
"M",7.124,12.4,50507.4,151.3,"Ride"
"M",6.529,13.8,15722.3,159.1,"Ride"
"M",2.501,7.4,3101.3,159.9,"Run"
"F",2.838,3.8,8324.8,145.7,"Run"
"M",8.79,14.7,41760.9,159.5,"Ride"
"M",8.542,15.5,87035,147.7,"Ride"
"M",3.171,5.2,14536.9,162.1,"Run"
"F",1.717,2.8,6346.5,118.2,"Run"
"F",7.218,13.2,51120,131.8,"Ride"
"F",7.159,10.8,12020.7,133.4,"Ride"
"M",3.413,5.1,15428.3,164.4,"Run"
"M",7.493,12.9,52497.8,136.8,"Ride"
"F",3.456,4.5,20009.7,142.6,"Run"
"M",10.014,10.6,18015.9,146.3,"Ride"
"F",2.043,3.2,5951.7,134.1,"Run"
"M",7.781,12.4,101596,148.1,"Ride"
"F",3.9,5.1,7676,141.8,"Run"
"M",6.304,13.6,51947.8,166,"Ride"
"M",4.233,9.224,35291.3,108.1,"Ride"
"F",8.395,16.4,22565.4,144.2,"Ride"
"M",2.831,11.9,8564.5,148.4,"Ride"
"M",5.739,8.5,132,68,"Ride"
"M",3.077,6.4,10163.5,147.1,"Run"
"M",7.776,17.6,111638,146.9,"Ride"
"M",7.312,10.5,26482.7,125.5,"Ride"
"F",6.452,17.4,23729.2,129.6,"Ride"
"M",5.023,13,50223.4,160.8,"Ride"
"F",2.737,3.6,8771.9,163.2,"Run"
"F",3.84,6.1,6627.6,94.8,"Ride"
"F",7.032,14.5,65787.7,110.2,"Ride"
"F",6.755,10.9,19338.8,154.7,"Ride"
"F",3.312,5.5,10976.5,158.8,"Run"
"M",6.192,7.1,11152,122.2,"Ride"
"M",7.986,11.8,208948,141.5,"Ride"
"F",3.162,4.1,5071.4,160.1,"Run"
"M",2.552,3.7,7396,134.4,"Run"
"M",3.358,6.447,26813.4,157.2,"Ride"
"M",5.88,16.6,52033.3,142,"Ride"
"M",8.338,13,50158.5,133.3,"Ride"
"F",2.689,3.5,12102.3,176.2,"Run"
"F",0.394,4.8,2702.4,147.3,"Run"
"F",7.889,15.8,57430.6,158,"Ride"
"M",5.642,12.6,57098.6,144.3,"Ride"
"M",3.04,5.4,6490.4,160.7,"Run"
"F",6.352,13.2,2788.7,138.9,"Ride"
"M",3.255,5.2,8658,153.4,"Run"
"M",6.115,13.9,44796,132.5,"Ride"
"M",3.949,11.8,11178.8,141.3,"Ride"
"M",4.355,11.8,22909.5,130.7,"Ride"
"M",3.02,3.8,4026.2,130.3,"Run"
"M",8.955,15.5,48735.4,131.4,"Ride"
"F",7.736,11.7,20354.7,141.8,"Ride"
"F",8.148,15.3,62521.6,164.4,"Ride"
"M",4.631,10.8,16932,145.9,"Ride"
"M",8.644,13.2,2066,130.4,"Ride"
"M",7.426,22,97748.5,149.7,"Ride"
"F",6.065,7.6,27292.4,137.1,"Ride"
"F",2.235,2.9,809,135.4,"Run"
"M",7.262,12.6,15722.6,134.3,"Ride"
"F",7.664,13.1,50391.2,153.2,"Ride"
"F",6.004,11.9,46190.5,162.4,"Ride"
"M",7.074,12.2,16608.8,112,"Ride"
"M",2.853,4.2,4736.1,146,"Run"
"M",2.711,2.9,1361.1,127,"Run"
"F",7.943,15.2,116450,141.6,"Ride"
"F",1.946,13.4,5465.3,116,"Run"
"M",5.977,16.2,44543.8,107.7,"Ride"
"M",7.57,16.2,80381.5,147.3,"Ride"
"M",7.193,19,89158.9,132.6,"Ride"
"F",4.773,5.9,6457.8,93.9,"Ride"
"M",6.089,15.6,49779.6,181.5,"Ride"
"M",6.696,13.2,57746.7,121.3,"Ride"
"M",6.332,13.8,29195.8,162.8,"Ride"
"F",8.781,18.2,31560.3,151.8,"Ride"
"M",2.481,4.3,12026.9,154.6,"Run"
"M",7.397,13.1,22426.2,126.5,"Ride"
"F",2.652,5.8,10306,179.6,"Run"
"M",3.569,5.2,12531.6,161.6,"Run"
"F",2.095,3.1,5684.5,126.1,"Run"
"M",6.596,13.3,36061.2,183,"Ride"
"F",3.004,4.8,4001.6,173.1,"Run"
"M",5.787,12.1,10427.3,140.4,"Ride"
"F",1.962,4.5,5058.7,129.5,"Run"
"M",3.364,6.1,16825.5,146.2,"Run"
"M",2.547,2.9,43.3,87.4,"Run"
"F",7.712,12.6,67430.1,149,"Ride"
"M",6.489,16.8,45555.4,123.4,"Ride"
"M",5.677,14.8,96889.4,135.9,"Ride"
"F",3.641,11.8,21564.8,145.7,"Ride"
"M",3.542,6.7,15748.1,134.4,"Ride"
"F",4.415,9.9,32903.8,99.4,"Ride"
"F",6.897,13.1,116348,141.1,"Ride"
"F",5.014,8.3,13724.2,123.4,"Ride"
"M",7.336,15,34470,137.2,"Ride"
"F",3.164,4.3,2534.5,147.3,"Run"
"M",2.706,10.4,12300.9,150.6,"Run"
"F",3.245,6,11816.5,152.1,"Run"
"M",2.909,4.6,10150.6,143.6,"Run"
"M",2.626,7.3,4724.2,135.3,"Run"
"M",7.106,8.7,2849.6,131.1,"Ride"
"M",5.643,14.6,23679.9,122.4,"Ride"
"F",8.096,12.2,54431.9,136.8,"Ride"
"F",8.774,14.1,85775.8,158.2,"Ride"
"F",1.142,2.8,2838.1,94.6,"Run"
"F",2.631,3.4,4894,152.6,"Run"
"F",3.268,5.3,11063.1,182,"Run"
"M",7.699,10.344,52964.8,154.7,"Ride"
"M",4.646,14.1,25592.5,149.8,"Ride"
"F",7.242,10.2,16032.9,133,"Ride"
"F",2.183,4.3,2967.1,146.3,"Run"
"M",2.964,4.7,11056.3,112.7,"Run"
"M",1.06,10.9,9303.2,114.5,"Ride"
"M",3.51,5.5,14194,141.7,"Run"
"M",6.503,13.2,67845.7,161.4,"Ride"
"F",7.594,15.5,50334.5,132.3,"Ride"
"F",6.655,16.5,63756.7,162.6,"Ride"
"F",6.503,19.773,50294.7,124.6,"Ride"
"M",8.618,13.7,93325.4,150.4,"Ride"
"M",2.71,3.4,3278.9,171.7,"Run"
"M",8.562,12.5,32724.3,151.3,"Ride"
"M",5.048,14.9,21880.1,147.8,"Ride"
"F",2.378,5,9743.5,162.2,"Run"
"M",9.885,19.5,83466.8,169.4,"Ride"
"F",2.57,3.4,18982.3,159.1,"Run"
"F",7.419,13.1,53395.8,157.2,"Ride"
"M",3.087,5.3,10114.3,147.3,"Run"
"M",3.753,10.3,23938.3,151.7,"Ride"
"M",3.323,6.4,13330.5,136.7,"Run"
"M",7.452,12.9,120016,146.9,"Ride"
"M",9.911,18.7,186382,151,"Ride"
"M",3.263,4.8,9978.2,143,"Run"
"M",9.017,15.8,25518,143.2,"Ride"
"M",7.207,10.8,26638.2,133.4,"Ride"
"F",5.21,13.7,19239,121.9,"Ride"
"M",8.927,15.9,47776.3,139.9,"Ride"
"M",6.813,16,32295.3,89.3,"Ride"
"F",8.581,20.3,82699.9,165,"Ride"
"M",3.242,9.9,12022.8,163.1,"Ride"
"M",6.648,9.5,58785.6,134.3,"Ride"
"F",7,9.4,16211,156.8,"Ride"
"F",2.691,4.1,3043.4,142.6,"Run"
"M",3.01,12.3,11075.5,140.8,"Run"
"M",8.241,15.3,77449,160.1,"Ride"
"M",3.319,5.2,6216.3,84.3,"Run"
"M",4.97,14.8,37378.9,138.3,"Ride"
"F",3.506,8.1,1483.2,113.3,"Ride"
"M",8.784,15.2,56039.3,135.6,"Ride"
"M",9.008,15.8,55659,112.9,"Ride"
"M",5.639,21.1,83665.4,143.5,"Ride"
"M",6.971,12.2,13928.2,124.8,"Ride"
"M",8.167,17.8,36442.2,151.7,"Ride"
"M",7.282,16.8,110991,136,"Ride"
"F",9.374,13.4,35246.1,135.8,"Ride"
"M",6.893,11.8,32146.7,125.7,"Ride"
"M",4.867,5.3,837.1,143.8,"Run"
"M",6.781,14.9,52709.2,118.1,"Ride"
"M",7.209,20.3,89458.3,132.1,"Ride"
"F",5.292,15.1,73723.1,145.2,"Ride"
"M",7.232,16,30996.3,149.2,"Ride"
"M",3.137,8.4,3287.7,137,"Run"
"F",7.508,12.3,101011,146.4,"Ride"
"F",2.803,5.4,11481.4,159.4,"Run"
"M",3.318,9,8630.8,100.1,"Ride"
"F",2.566,9.7,1570.1,124.3,"Run"
"F",2.958,4.2,5010.9,172.9,"Run"
"M",9.046,14.6,62896.3,122,"Ride"
"F",6.759,18.6,40891.1,161,"Ride"
